@RELATION knnMusicGenre2
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {ad,sp}

@DATA
0.146276,0.018213,3.130908,0.244927,0.227807,1.174637,0.009933,0.239779,-25.674530,1.617801,0.080581,0.165471,0.041232,-0.011619,-0.055104,0.012229,-0.017660,0.006783,-0.006049,-0.017017,-0.031680,0.017129,0.006753,0.035281,0.012425,0.019511,0.010448,0.042945,0.003675,0.007264,0.018994,0.022322,0.006946,0.026249,0.066691,0.011969,0.192276,0.059462,0.030199,0.465180,0.006856,0.140630,1.677708,0.636521,0.537768,0.417148,0.354412,0.328472,0.297474,0.288224,0.285104,0.294886,0.269476,0.273521,0.247091,0.018967,0.008933,0.030379,0.015466,0.019743,0.013992,0.032170,0.005257,0.008866,0.018419,0.020138,0.009268,0.012055,ad
0.151010,0.018440,3.111195,0.249562,0.229046,1.138430,0.011267,0.254164,-25.245953,1.783259,0.151776,0.131844,0.035960,-0.032676,-0.054969,0.041132,-0.027853,-0.002758,-0.052005,0.002169,-0.076844,0.020837,0.008274,0.036784,0.012473,0.019252,0.012046,0.029526,0.003066,0.007819,0.019129,0.025979,0.004975,0.024119,0.096245,0.012850,0.214957,0.083101,0.032840,0.596849,0.007667,0.186133,1.515853,0.731536,0.672538,0.450956,0.395196,0.352063,0.336568,0.300436,0.300679,0.286125,0.284415,0.270383,0.249002,0.026133,0.010753,0.031601,0.016516,0.022128,0.014681,0.029490,0.004136,0.010389,0.020982,0.026587,0.006818,0.012534,ad
0.143498,0.012903,3.135305,0.242827,0.226218,1.154944,0.009431,0.245648,-25.831497,1.755656,0.128921,0.130827,0.055947,-0.035462,-0.065925,0.043816,-0.032900,0.021590,0.028798,0.009114,-0.007895,0.018668,0.005743,0.031834,0.012978,0.020911,0.012140,0.034689,0.003555,0.009542,0.018787,0.025815,0.005733,0.023881,0.078707,0.008868,0.176608,0.070726,0.031349,0.518361,0.006244,0.157284,1.451402,0.647543,0.589689,0.407551,0.362147,0.321205,0.311461,0.287016,0.280401,0.277091,0.262798,0.260597,0.241148,0.022416,0.007439,0.028858,0.015003,0.021305,0.016092,0.029973,0.004446,0.011330,0.018309,0.024523,0.007056,0.011849,ad
0.150301,0.012306,3.130510,0.248086,0.227399,1.179941,0.010747,0.259503,-25.818626,1.741976,0.134241,0.051789,0.037206,-0.035515,-0.016421,0.014198,-0.015108,-0.057649,-0.053222,0.021659,-0.030516,0.018791,0.008312,0.036375,0.014355,0.018680,0.011731,0.031225,0.003097,0.007501,0.017452,0.026774,0.004858,0.024896,0.090420,0.008788,0.187363,0.078897,0.031502,0.563864,0.008075,0.175976,1.521524,0.707034,0.648649,0.414912,0.389760,0.347085,0.337376,0.298307,0.293806,0.284206,0.279422,0.262478,0.244265,0.024777,0.009493,0.033472,0.018606,0.022119,0.016957,0.028820,0.004385,0.009997,0.019496,0.025256,0.006270,0.012923,ad
0.159318,0.013046,3.075245,0.251663,0.220655,1.205275,0.012003,0.265333,-25.890931,1.601475,-0.106196,-0.000335,-0.075316,-0.103674,-0.168323,0.007470,-0.023948,0.000476,-0.055988,-0.049487,-0.005788,0.020391,0.006675,0.024993,0.014364,0.015442,0.012497,0.023647,0.003025,0.009309,0.021148,0.020938,0.008237,0.021997,0.106340,0.011278,0.260442,0.093627,0.036450,0.624808,0.007602,0.199718,1.980056,0.758210,0.753511,0.501387,0.434759,0.411958,0.372983,0.352731,0.347574,0.335376,0.336505,0.319678,0.272215,0.027421,0.010386,0.027485,0.019021,0.018543,0.018281,0.025133,0.004642,0.013452,0.016736,0.020972,0.012165,0.011611,ad
0.128339,0.004709,2.984849,0.225491,0.213807,1.009117,0.014324,0.208119,-28.019438,1.901557,-0.163154,-0.226756,-0.280359,0.012500,-0.003488,-0.054645,-0.004609,0.008574,-0.070914,-0.024847,-0.064222,0.017928,0.008497,0.023472,0.016809,0.019308,0.014961,0.021817,0.006218,0.011287,0.015767,0.024068,0.010236,0.022387,0.081728,0.005384,0.340364,0.072728,0.034616,0.621687,0.008985,0.161131,2.389958,0.866637,0.847104,0.503895,0.475030,0.418216,0.364586,0.318277,0.321583,0.306131,0.298557,0.290327,0.274938,0.023617,0.012757,0.026737,0.023031,0.024134,0.021885,0.024326,0.010701,0.016303,0.018967,0.028282,0.015234,0.012168,sp
0.121527,0.003454,2.952376,0.211203,0.207264,0.899378,0.015790,0.187899,-28.430991,2.122967,-0.141001,-0.226576,-0.209883,-0.006167,0.005607,-0.075125,-0.034842,-0.023652,-0.046109,-0.040365,-0.103882,0.021763,0.008009,0.026255,0.017954,0.019297,0.014897,0.022861,0.006245,0.011040,0.016994,0.023604,0.009720,0.023016,0.085710,0.003908,0.377762,0.077797,0.037238,0.637707,0.010053,0.161759,2.465575,0.918832,0.874531,0.516738,0.464932,0.399242,0.347917,0.310438,0.303657,0.298048,0.288146,0.283189,0.268774,0.027639,0.012031,0.029527,0.024528,0.023728,0.021216,0.025319,0.011168,0.015693,0.019440,0.026563,0.014164,0.012520,sp
0.127910,0.004032,2.947222,0.221611,0.212459,0.934518,0.015502,0.201960,-28.277618,2.093236,-0.082323,-0.197140,-0.214456,0.005683,-0.021064,-0.070187,-0.050741,-0.025616,-0.043107,-0.020026,-0.086461,0.020365,0.007159,0.028291,0.017758,0.019285,0.014804,0.025891,0.005613,0.011387,0.016715,0.023175,0.008762,0.023532,0.092479,0.004662,0.379135,0.082808,0.038152,0.631634,0.009960,0.172486,2.468347,0.893486,0.879203,0.519361,0.457779,0.400947,0.353554,0.311160,0.300519,0.298512,0.292566,0.285544,0.267101,0.026911,0.010628,0.031808,0.024225,0.023046,0.020816,0.028534,0.009549,0.016047,0.019580,0.026386,0.012937,0.012741,sp
0.122992,0.003306,2.959425,0.217557,0.212789,0.933958,0.015121,0.192434,-28.307417,2.092012,-0.134562,-0.171148,-0.226280,0.001655,0.024776,-0.052630,-0.032308,-0.041424,-0.071047,-0.045097,-0.076096,0.021743,0.007802,0.027378,0.017886,0.019975,0.015634,0.023330,0.005195,0.010091,0.016404,0.025017,0.009551,0.023553,0.083728,0.003905,0.363688,0.075214,0.035825,0.626092,0.009683,0.162124,2.354257,0.868421,0.844953,0.502074,0.464702,0.398423,0.356300,0.306534,0.305595,0.293084,0.291014,0.290956,0.279388,0.027650,0.011685,0.030318,0.024022,0.024224,0.022142,0.026025,0.008853,0.014334,0.018605,0.027659,0.013897,0.012613,sp
0.125879,0.005972,2.997192,0.220584,0.210917,0.969524,0.015201,0.200426,-27.646195,1.912446,-0.162467,-0.240790,-0.266073,0.028836,0.000724,-0.046861,-0.035899,-0.029753,-0.040984,-0.012429,-0.071695,0.019481,0.008349,0.022899,0.017281,0.019311,0.015681,0.023192,0.005964,0.011085,0.016651,0.022746,0.009794,0.023028,0.080799,0.007179,0.333023,0.072162,0.035137,0.613754,0.009617,0.158236,2.326960,0.843448,0.841571,0.512901,0.469009,0.398832,0.367430,0.333264,0.326128,0.328576,0.304938,0.304414,0.283245,0.026332,0.012944,0.026516,0.024159,0.023946,0.022958,0.026076,0.010348,0.015981,0.019968,0.027491,0.014948,0.012552,sp
0.124589,0.005479,2.974677,0.217013,0.210147,0.942598,0.015626,0.194613,-27.738284,1.987755,-0.236691,-0.209926,-0.200480,-0.003587,0.013101,-0.074769,-0.055649,-0.059819,-0.043755,-0.034565,-0.087860,0.019594,0.007544,0.025269,0.018332,0.019559,0.015311,0.022934,0.006392,0.011502,0.016096,0.023639,0.009016,0.023135,0.083953,0.006529,0.353098,0.074858,0.036988,0.616386,0.009641,0.161018,2.388452,0.860792,0.871336,0.531445,0.456834,0.400956,0.357389,0.323391,0.322630,0.322516,0.312905,0.306514,0.286219,0.026154,0.011286,0.028578,0.025267,0.024540,0.021700,0.025497,0.010928,0.016614,0.019110,0.027855,0.013478,0.012545,sp
0.121813,0.004907,2.963737,0.215523,0.211064,0.934129,0.015642,0.191094,-27.981523,2.035619,-0.219052,-0.176786,-0.201614,-0.010655,0.041166,-0.073717,-0.045126,-0.039660,-0.036689,-0.028344,-0.090500,0.019870,0.007916,0.025795,0.017853,0.020045,0.014934,0.024535,0.006095,0.011436,0.016432,0.023548,0.009084,0.023262,0.081295,0.005871,0.364176,0.073470,0.036350,0.605455,0.010149,0.156626,2.401085,0.859547,0.854743,0.516994,0.461994,0.402508,0.360512,0.314726,0.310304,0.306489,0.297483,0.291288,0.278923,0.026097,0.011847,0.029191,0.024395,0.024804,0.021206,0.026914,0.010486,0.016091,0.019364,0.027002,0.013284,0.012531,sp
0.130639,0.006783,2.960363,0.223527,0.211189,1.019103,0.014971,0.207890,-27.354484,1.858842,-0.222554,-0.243262,-0.230964,-0.006527,0.044649,-0.046445,-0.036595,-0.029769,-0.089700,-0.014138,-0.071233,0.019003,0.008568,0.023993,0.017521,0.018269,0.014654,0.021931,0.006111,0.010417,0.014849,0.023569,0.009508,0.022049,0.084135,0.007883,0.368052,0.073820,0.034882,0.628866,0.009329,0.161293,2.480064,0.897635,0.867574,0.537263,0.465040,0.412185,0.366599,0.323343,0.327656,0.317591,0.305327,0.298855,0.283308,0.025196,0.012859,0.027502,0.023959,0.022576,0.020885,0.024603,0.010225,0.015165,0.017633,0.028621,0.014147,0.012070,sp
0.124808,0.004118,2.956323,0.217028,0.208820,0.924409,0.016359,0.192692,-28.431883,2.052719,-0.207011,-0.226346,-0.319781,-0.012343,0.001690,-0.082406,-0.006316,-0.046422,-0.063046,-0.044871,-0.053189,0.018868,0.008715,0.023822,0.018585,0.020292,0.016242,0.022264,0.005789,0.010821,0.015671,0.021407,0.010709,0.022645,0.087671,0.004902,0.363433,0.078345,0.036354,0.633084,0.010282,0.162965,2.527343,0.935816,0.906378,0.512811,0.491950,0.404252,0.374431,0.324988,0.319004,0.317106,0.304579,0.294751,0.281495,0.024816,0.013245,0.028326,0.025784,0.025840,0.023267,0.025337,0.010329,0.015640,0.019106,0.025491,0.016033,0.012444,sp
0.118953,0.004320,2.960301,0.210018,0.206570,0.906555,0.016042,0.181869,-28.183026,2.012600,-0.313002,-0.208192,-0.263485,0.007335,-0.014350,-0.101229,-0.033759,-0.050708,-0.069553,-0.061565,-0.078669,0.019786,0.008166,0.024640,0.018690,0.019648,0.015088,0.022804,0.006247,0.010973,0.016590,0.022983,0.010149,0.023099,0.077252,0.005151,0.373830,0.069760,0.037466,0.585145,0.009994,0.146259,2.466983,0.855433,0.881218,0.537999,0.460944,0.400549,0.364760,0.330642,0.324284,0.326138,0.312225,0.301335,0.280016,0.025949,0.012139,0.028512,0.025579,0.024230,0.021364,0.026048,0.010689,0.015497,0.019723,0.026690,0.015183,0.012642,sp
0.116884,0.003766,2.954937,0.210713,0.210885,0.856204,0.016174,0.177883,-28.391946,2.215757,-0.125654,-0.196694,-0.224481,0.015681,-0.008013,-0.054326,-0.023228,-0.061735,-0.080140,-0.043754,-0.074444,0.022523,0.007444,0.028698,0.019090,0.019853,0.014769,0.024670,0.005207,0.010299,0.017440,0.025094,0.009153,0.024197,0.081212,0.004356,0.371908,0.074128,0.036803,0.598388,0.010462,0.155125,2.406255,0.864573,0.861902,0.520288,0.455153,0.398132,0.351925,0.311994,0.296278,0.293699,0.287352,0.282567,0.270009,0.029387,0.011233,0.031397,0.025104,0.023680,0.020986,0.027449,0.009359,0.014796,0.020406,0.028108,0.013327,0.012762,sp
0.127542,0.005467,2.989952,0.223586,0.215743,1.002690,0.014284,0.205184,-27.593137,1.934740,-0.203479,-0.185577,-0.195992,0.026117,0.046072,-0.056975,-0.010444,0.000415,-0.065755,-0.027568,-0.087723,0.019204,0.008181,0.024961,0.017482,0.018105,0.013308,0.023752,0.006664,0.010775,0.015803,0.026946,0.009361,0.023158,0.077475,0.006118,0.338063,0.069587,0.034631,0.601184,0.008785,0.153419,2.316073,0.839562,0.829682,0.512223,0.449043,0.400346,0.349403,0.312133,0.312181,0.315084,0.293872,0.283936,0.267625,0.024981,0.012383,0.027501,0.023924,0.021921,0.018446,0.025722,0.011225,0.015266,0.018344,0.030109,0.013481,0.012354,sp
